Rank,ZINC ID,MW (Da),LogP,QED,LD50 (mg/kg),Risk Score,ProTox Risk Band,Hepatotoxicity,Cardiotoxicity,Mutagenicity,Carcinogenicity,AMES,hERG,BBB Penetration,TPSA,HBA,HBD
1,ZINC000543478179_1,363.433,2.5492,0.844909716,10000,0.0,GREEN (advance),No,No,No,No,0.259495115,0.292553869,0.963208663,61.88,3,1
2,ZINC000795594282_1,391.261,3.4017,0.735309365,5470,0.0,GREEN (advance),No,No,No,No,0.016543937,0.328865665,0.794611621,63.6,4,1
3,ZINC000329563636_1,357.454,2.6967,0.885176484,5000,0.5,GREEN (advance),No,No,No,No,0.246326712,0.382597166,0.983406341,61.88,3,1
4,ZINC001228612316_1,268.316,2.7106,0.906304794,4000,0.5,GREEN (advance),No,No,No,No,0.16225136,0.059989132,0.954687214,65.21,3,1
5,ZINC001192508341_1,326.343,2.8136,0.864037423,3500,0.5,GREEN (advance),No,No,No,No,0.211243549,0.329997353,0.995334554,68.29,4,1
6,ZINC000815499514_1,360.784,3.4853,0.816371814,5000,0.62,GREEN (advance),No,No,No,No,0.03987442,0.195002989,0.987731469,63.6,4,1
7,ZINC000986844564_1,343.427,2.59722,0.927738867,3780,0.53,GREEN (advance),No,No,No,No,0.047561343,0.37072334,0.758082092,67.48,4,1
8,ZINC001519543287_1,382.512,2.54022,0.860836852,2800,0.5,GREEN (advance),No,No,No,No,0.132151395,0.458884162,0.903624725,66.29,6,1
9,ZINC001650472702_1,327.384,2.1069,0.855619894,2500,0.5,GREEN (advance),No,No,No,No,0.289548111,0.323514774,0.850537789,63.57,4,1
10,ZINC001185146364_1,367.873,3.2362,0.783795976,5000,0.71,GREEN (advance),No,No,No,No,0.038853487,0.226302235,0.766444087,64.63,4,1
11,ZINC001746475657_1,355.486,2.87252,0.865379615,2500,0.5,GREEN (advance),No,No,No,No,0.140467099,0.482056761,0.954619741,63.05,5,1
12,ZINC001767188896_1,367.497,2.49652,0.852052786,2500,0.5,GREEN (advance),No,No,No,No,0.25940211,0.463757145,0.974945641,63.05,5,1
13,ZINC000046007741_1,342.439,3.39564,0.818670416,2500,0.5,GREEN (advance),No,No,No,No,0.085789201,0.350905445,0.864191294,60.33,4,1
14,ZINC000899211605_1,338.407,2.7476,0.91572173,2500,0.5,GREEN (advance),No,No,No,No,0.17396187,0.434143567,0.935859621,62.55,3,1
15,ZINC001271344958_1,398.29,2.1941,0.845662269,3000,0.59,GREEN (advance),No,No,No,No,0.113795605,0.351415682,0.758831739,69.72,3,1
